Treatment ,Connectivity,Block,Plot,Collection.date,Year,Entomobryidae,Isotomidae,Sminthuridae,Tomoceridae,Acari,Formicidae,Lycosidae,Thomisidae,Linyphiidae,Salticidae,Gnaphosidae,Araneae.other,Staphylinidae,Carabidae,Circulionidae,Coleoptera.other,Chilopoda,Diplopoda,Isopoda,Opiliones,Total
Control,4,1,1,11/10/2021,2021,12,0,0,0,1,28,1,0,1,0,0,0,1,1,1,3,0,0,21,0,70
Control,4,1,2,9/27/2021,2021,8,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,24,0,50
Control ,4,1,3,9/27/2021,2021,40,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,0,0,2,0,57
Control,4,1,4,11/10/2021,2021,4,0,0,0,1,12,0,1,0,0,0,0,0,0,0,3,0,0,23,0,44
Control ,4,1,5,11/10/2021,2021,4,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14
Control ,4,1,6,11/10/2021,2021,4,0,0,0,0,16,2,0,0,1,2,0,0,0,0,0,0,0,17,0,42
Control,4,1,7,11/3/2021,2021,32,0,2,3,0,24,1,0,0,0,1,0,0,0,0,0,0,0,24,0,87
Control,4,1,8,11/8/2021,2021,8,0,0,0,0,12,2,0,1,0,2,1,2,1,1,0,0,0,17,0,47
Control,4,1,9,9/22/2021,2021,4,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,2,0,13
Control ,4,2,1,9/14/2021,2021,132,1,0,4,1,60,0,0,0,0,0,0,2,0,0,1,0,0,27,0,228
Control,4,2,2,9/15/2021,2021,28,0,0,0,0,14,1,0,0,0,1,0,0,0,1,1,0,0,52,0,98
Control,4,2,3,9/13/2021,2021,60,1,2,3,0,68,0,0,0,0,3,4,2,1,1,4,0,1,72,0,222
Control,4,2,4,9/13/2021,2021,100,0,0,3,2,24,1,0,0,0,0,0,1,3,1,0,0,0,64,0,199
Control,4,2,5,9/13/2021,2021,84,0,1,10,0,8,1,0,0,0,1,1,0,1,1,0,0,0,54,0,162
Control,4,2,6,9/20/2021,2021,112,0,1,2,6,20,1,0,1,0,1,1,1,2,0,0,0,0,37,0,185
Control,4,2,7,9/15/2021,2021,24,0,0,0,0,28,0,0,0,0,0,1,1,0,1,3,0,3,17,0,78
Control,4,2,8,9/14/2021,2021,156,1,2,15,2,60,0,0,0,0,1,0,1,2,2,3,0,0,19,0,264
Control,4,2,9,9/15/2021,2021,20,0,0,0,5,20,0,0,0,0,0,0,0,0,0,2,0,0,19,0,66
Control,4,3,1,10/13/2021,2021,24,0,1,1,1,4,3,0,0,0,1,0,1,3,2,1,0,2,10,0,54
Control,4,3,2,10/13/2021,2021,96,0,0,6,1,20,1,0,0,0,0,1,0,1,0,0,0,1,48,0,175
Control,4,3,3,10/25/2021,2021,16,0,0,0,1,16,2,1,1,0,0,0,0,0,4,0,0,2,8,0,51
