Treatment,Block,Trap,Year,Diptera,Coleoptera,Auchenorrhyncha,Hymenoptera,Lepidoptera,Heteroptera,Hemiptera,Mecoptera,Arthropod.other,Total
Control,1,1,2020,35,2,12,6,1,0,0,2,0,58
Control,1,2,2020,74,1,4,7,1,0,0,7,0,94
Control,1,3,2020,26,0,5,2,1,0,0,9,0,43
Control,1,4,2020,27,1,9,6,2,0,0,9,0,54
Control,1,5,2020,31,0,34,2,0,0,0,1,0,68
Control,1,6,2020,62,0,33,4,0,0,0,2,0,101
Control,1,7,2020,24,3,6,4,2,0,0,2,0,41
Control,1,8,2020,16,1,5,5,4,0,0,5,1,37
Control,1,9,2020,16,1,11,8,3,0,0,1,0,40
Control,2,1,2020,25,1,8,4,1,0,0,0,0,39
Control,2,2,2020,29,3,38,3,3,0,0,0,0,76
Control,2,3,2020,23,1,3,5,1,0,0,11,0,44
Control,2,4,2020,22,2,26,7,5,0,0,0,0,62
Control,2,5,2020,25,1,25,9,0,0,0,2,0,62
Control,2,6,2020,58,2,36,7,6,0,0,10,0,119
Control,2,7,2020,28,3,6,1,3,0,0,10,0,51
Control,2,8,2020,27,0,7,5,2,0,0,1,0,42
Control,2,9,2020,27,1,11,3,3,1,0,3,0,49
Control,3,1,2020,52,1,22,5,2,0,0,2,0,84
Control,3,2,2020,38,3,9,5,1,0,0,1,0,57
Control,3,3,2020,34,0,6,3,3,0,0,0,0,46
Control,3,4,2020,58,1,17,5,1,0,0,2,0,84
Control,3,5,2020,34,0,10,6,4,0,0,0,1,55
Control,3,6,2020,59,0,14,2,6,0,0,0,0,81
Control,3,7,2020,36,0,25,7,2,0,0,4,0,74
Control,3,8,2020,27,0,11,4,0,0,0,6,0,48
Control,3,9,2020,34,1,21,1,2,0,0,0,0,59
Control,4,1,2020,40,4,11,7,3,0,0,2,0,67
Control,4,2,2020,43,1,15,7,0,0,0,6,0,72
Control,4,3,2020,53,1,3,6,4,0,0,2,0,70
Control,4,5,2020,63,1,24,4,4,0,0,0,1,97
Control,4,6,2020,29,1,15,3,0,0,0,3,0,51
Control,4,7,2020,40,0,10,2,7,0,0,2,0,61
Control,4,8,2020,38,0,29,2,5,0,0,4,0,78
Control,4,9,2020,37,2,4,2,3,0,0,1,0,49
Full.connection,1,1,2020,88,4,11,14,0,0,0,1,0,118
Full.connection,1,2,2020,76,0,16,13,2,0,0,1,1,109
Full.connection,1,3,2020,44,1,6,7,0,0,0,1,0,59
Full.connection,1,4,2020,62,0,11,7,2,0,0,0,0,82
Full.connection,1,5,2020,72,1,12,6,1,0,0,0,0,92
Full.connection,1,6,2020,52,0,22,8,1,0,1,3,1,88
Full.connection,1,7,2020,70,4,18,3,2,0,0,3,0,100
Full.connection,1,8,2020,26,2,27,4,5,0,0,0,0,64
Full.connection,1,9,2020,51,2,12,5,3,0,0,2,0,75
Full.connection,2,1,2020,36,2,16,2,2,0,0,4,0,62
Full.connection,2,2,2020,25,1,10,3,2,0,0,0,0,41
Full.connection,2,3,2020,25,0,5,1,0,0,0,2,0,33
Full.connection,2,4,2020,34,0,48,6,3,0,0,2,0,93
Full.connection,2,5,2020,3,1,13,0,1,0,0,0,0,18
Full.connection,2,6,2020,16,0,62,3,0,0,0,0,0,81
Full.connection,2,7,2020,41,1,48,3,3,0,0,5,0,101
Full.connection,2,8,2020,25,2,31,0,1,0,0,1,1,61
Full.connection,2,9,2020,18,1,8,3,0,0,0,4,0,34
Full.connection,3,1,2020,35,0,13,9,3,0,0,0,0,60
Full.connection,3,2,2020,79,1,7,14,3,0,0,2,0,106
Full.connection,3,3,2020,48,4,22,4,1,0,0,2,0,81
Full.connection,3,4,2020,88,3,14,5,7,0,0,1,0,118
Full.connection,3,5,2020,36,3,11,5,3,0,0,0,0,58
Full.connection,3,6,2020,108,4,2,2,1,0,0,0,0,117
Full.connection,3,7,2020,37,3,7,2,1,0,0,0,0,50
Full.connection,3,8,2020,35,2,4,4,2,0,0,0,0,47
Full.connection,3,9,2020,54,4,7,4,1,0,0,1,0,72
Full.connection,4,1,2020,37,2,14,5,1,0,0,5,0,64
Full.connection,4,2,2020,91,4,11,4,2,0,0,3,0,115
Full.connection,4,3,2020,49,0,17,2,2,0,0,5,0,75
Full.connection,4,4,2020,74,4,32,4,4,0,0,4,0,122
Full.connection,4,5,2020,43,1,49,4,1,0,0,1,0,99
Full.connection,4,6,2020,64,1,17,7,2,0,0,8,0,99
Full.connection,4,7,2020,80,2,30,8,6,0,0,1,0,127
Full.connection,4,9,2020,55,1,18,7,3,0,0,3,0,87
No.connection,1,1,2020,111,6,36,13,6,0,0,5,0,177
No.connection,1,2,2020,47,0,8,1,2,0,0,1,0,59
No.connection,1,3,2020,146,3,47,17,2,0,0,4,0,219
No.connection,1,4,2020,103,3,12,3,5,0,0,0,0,126
No.connection,1,5,2020,85,0,10,6,1,0,0,0,0,102
No.connection,1,6,2020,144,1,1,3,1,0,0,0,2,152
No.connection,1,7,2020,114,2,15,7,2,0,0,3,0,143
No.connection,1,8,2020,75,2,4,9,3,0,0,0,0,93
No.connection,1,9,2020,120,2,13,7,0,0,0,2,0,144
No.connection,2,1,2020,17,3,8,9,1,0,0,7,0,45
No.connection,2,2,2020,24,1,10,9,1,0,0,0,0,45
